Team Rating: 13, Threat Score: 679, cresselia, lapras, perrserker, Grades : C, A, B, A
Team Rating: 13, Threat Score: 679, articuno, cresselia, mewtwo_armored, Grades : C, A, A, B
Team Rating: 13, Threat Score: 678, giratina_altered, mewtwo_armored, snorlax, Grades : C, A, B, A
Team Rating: 13, Threat Score: 677, giratina_altered, giratina_origin, registeel, Grades : C, A, B, A
Team Rating: 13, Threat Score: 676, cresselia, snorlax, swampert, Grades : C, A, B, A
Team Rating: 13, Threat Score: 675, cresselia, registeel, snorlax, Grades : C, A, B, A
Team Rating: 13, Threat Score: 675, cresselia, obstagoon, swampert, Grades : C, A, B, A
Team Rating: 13, Threat Score: 669, cresselia, giratina_origin, muk_alolan, Grades : C, A, B, A
Team Rating: 13, Threat Score: 667, cresselia, giratina_origin, registeel, Grades : C, A, B, A
Team Rating: 13, Threat Score: 665, giratina_origin, lapras, registeel, Grades : C, A, B, A
Team Rating: 13, Threat Score: 664, giratina_altered, obstagoon, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 664, cresselia, muk_alolan, poliwrath, Grades : B, A, B, B
Team Rating: 13, Threat Score: 661, giratina_origin, mewtwo_armored, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 661, giratina_altered, obstagoon, snorlax, Grades : B, B, B, A
Team Rating: 13, Threat Score: 660, lapras, mewtwo_armored, obstagoon, Grades : B, B, B, A
Team Rating: 13, Threat Score: 660, giratina_altered, obstagoon, togekiss, Grades : B, B, B, A
Team Rating: 13, Threat Score: 660, cresselia, machamp, swampert, Grades : B, B, A, B
Team Rating: 13, Threat Score: 659, giratina_origin, lapras, snorlax, Grades : B, B, B, A
Team Rating: 13, Threat Score: 657, giratina_origin, mewtwo_armored, obstagoon, Grades : B, B, B, A
Team Rating: 13, Threat Score: 656, giratina_origin, machamp, registeel, Grades : B, B, B, A
Team Rating: 13, Threat Score: 656, giratina_altered, snorlax, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 656, cresselia, melmetal, snorlax, Grades : B, A, B, B
Team Rating: 13, Threat Score: 656, cresselia, giratina_origin, poliwrath, Grades : B, A, B, B
Team Rating: 13, Threat Score: 655, giratina_altered, machamp, registeel, Grades : B, B, B, A
Team Rating: 13, Threat Score: 655, cresselia, lapras, poliwrath, Grades : B, A, B, B
Team Rating: 13, Threat Score: 654, giratina_origin, mewtwo_armored, muk_alolan, Grades : B, B, B, A
Team Rating: 13, Threat Score: 653, giratina_altered, mewtwo_armored, muk_alolan, Grades : B, B, B, A
Team Rating: 13, Threat Score: 653, articuno, giratina_origin, registeel, Grades : B, B, B, A
Team Rating: 13, Threat Score: 650, abomasnow, giratina_altered, obstagoon, Grades : B, B, B, A
Team Rating: 13, Threat Score: 649, lapras, machamp, mewtwo_armored, Grades : B, B, B, A
Team Rating: 13, Threat Score: 649, giratina_altered, machamp, snorlax, Grades : B, B, B, A
Team Rating: 13, Threat Score: 648, cresselia, perrserker, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 647, machamp, mewtwo_armored, snorlax, Grades : B, B, B, A
Team Rating: 13, Threat Score: 644, cresselia, giratina_origin, machamp, Grades : B, B, B, A
Team Rating: 13, Threat Score: 643, articuno, giratina_origin, snorlax, Grades : B, B, B, A
Team Rating: 13, Threat Score: 643, abomasnow, cresselia, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 642, giratina_altered, poliwrath, registeel, Grades : B, A, B, B
Team Rating: 13, Threat Score: 641, giratina_altered, muk_alolan, obstagoon, Grades : B, B, B, A
Team Rating: 13, Threat Score: 641, giratina_altered, melmetal, registeel, Grades : B, A, B, B
Team Rating: 13, Threat Score: 640, abomasnow, giratina_altered, lapras, Grades : B, B, B, A
Team Rating: 13, Threat Score: 637, giratina_altered, muk_alolan, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 637, articuno, giratina_altered, snorlax, Grades : B, B, B, A
Team Rating: 13, Threat Score: 634, giratina_origin, registeel, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 633, giratina_altered, lapras, togekiss, Grades : B, B, B, A
Team Rating: 13, Threat Score: 633, giratina_altered, giratina_origin, lapras, Grades : B, B, B, A
Team Rating: 13, Threat Score: 633, cresselia, giratina_altered, melmetal, Grades : B, A, B, B
Team Rating: 13, Threat Score: 631, cresselia, lapras, machamp, Grades : B, A, B, B
Team Rating: 13, Threat Score: 631, articuno, giratina_origin, mewtwo_armored, Grades : B, B, B, A
Team Rating: 13, Threat Score: 630, articuno, snorlax, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 628, cresselia, lapras, swampert, Grades : B, A, B, B
Team Rating: 13, Threat Score: 627, articuno, mewtwo_armored, obstagoon, Grades : B, B, B, A
Team Rating: 13, Threat Score: 626, giratina_altered, lapras, obstagoon, Grades : B, B, B, A
Team Rating: 13, Threat Score: 626, articuno, mewtwo_armored, snorlax, Grades : B, B, B, A
Team Rating: 13, Threat Score: 625, cresselia, giratina_origin, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 624, giratina_altered, lapras, perrserker, Grades : B, B, B, A
Team Rating: 13, Threat Score: 623, giratina_altered, lapras, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 622, lapras, mewtwo_armored, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 619, articuno, registeel, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 617, articuno, giratina_altered, obstagoon, Grades : B, B, B, A
Team Rating: 13, Threat Score: 616, giratina_altered, lapras, machamp, Grades : B, B, B, A
Team Rating: 13, Threat Score: 615, giratina_origin, lapras, mewtwo_armored, Grades : B, B, B, A
Team Rating: 13, Threat Score: 613, articuno, giratina_altered, lapras, Grades : B, A, B, B
Team Rating: 13, Threat Score: 601, articuno, cresselia, swampert, Grades : B, A, B, B
Team Rating: 12, Threat Score: 795, lapras, registeel, snorlax, Grades : D, A, B, A
Team Rating: 12, Threat Score: 794, abomasnow, lapras, registeel, Grades : D, A, B, A
Team Rating: 12, Threat Score: 783, poliwrath, registeel, snorlax, Grades : D, A, B, A
Team Rating: 12, Threat Score: 773, abomasnow, cresselia, mewtwo_armored, Grades : D, A, B, A
Team Rating: 12, Threat Score: 767, cresselia, perrserker, registeel, Grades : D, A, B, A
Team Rating: 12, Threat Score: 765, abomasnow, cresselia, lapras, Grades : D, A, B, A
Team Rating: 12, Threat Score: 764, lapras, muk_alolan, registeel, Grades : D, A, B, A
